Config,Type,T_int,Radius_Re,Sigma_Found,Actual_Z_Me
Sharp Core (Cold),Sharp,200.0,9.560464806623692,0.001,13.002534429407174
Sharp Core (Hot),Sharp,600.0,13.033703063672732,0.001,12.996706734963219
