Config,Type,T_int,Radius_Re,Sigma_Found,Actual_Z_Me
Sharp Core (Cold),Sharp,200.0,3.671890935372241,0.001,7.034387556824347
Sharp Core (Hot),Sharp,600.0,5.020379829111474,0.001,7.03405490652587
Fuzzy Core (Cold),Fuzzy,200.0,3.5217401198026397,0.021223493592439288,7.003434676853771
Fuzzy Core (Hot),Fuzzy,600.0,4.763702449229696,0.021480777117824024,6.996283916223718
