Config,Type,T_int,Radius_Rj,Z_Core_Found,Actual_Z_Me
Sharp Core (Cold),Sharp,500.0,1.0904481862483253,0.02,30.000000000000004
Sharp Core (Hot),Sharp,1200.0,1.4654402370760073,0.02,30.000000000000004
Fuzzy Core (Cold),Fuzzy,500.0,1.0835417775984366,0.08612923243813615,30.06592396186711
Fuzzy Core (Hot),Fuzzy,1200.0,1.4430096017452425,0.08570135120595461,29.878367073723865
