trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,M_core_input_Me,Sigma_dilute,Z_base,Iron_Fraction,P_center_bar,T_deep,T_top,Delta_T,S_deep,S_top,Delta_S,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC,status
M5.0_T200.0_2692,mass,9.49e+27,1.0,200.0,5.000000084264267,0.897359514503878,353.7848983503211,73.6842105263158,0.031947368421052634,0.02,0.33,4432753244.411712,90716.3218358244,200.58452734245358,90515.73730848196,1389.6419447309027,50585.58787573522,-49195.94593100432,-91299215268914.4,1.0012844897672923,-0.0018142316422923097,-0.0018119042697984403,success
M5.0_T200.0_2511,mass,9.49e+27,1.0,200.0,4.999999415609878,0.9309521810905986,260.46672876507597,26.315789473684212,0.02936842105263158,0.02,0.33,3344775515.990691,86313.61932943137,201.12379260915583,86112.49553682221,1364.2459239785292,50585.58787573522,-49221.34195175669,-81393400222686.88,0.9615206435083778,-0.001478229280203475,-0.0015373869403466375,success
M0.3_T500.0_730,mass,5.694e+26,1.0,500.0,0.30001494229696457,0.3311559174479203,93.95411438804835,84.21052631578948,0.21100000000000002,0.02,0.33,417713254.6998736,28448.765605731718,500.1808157631644,27948.584789968554,2462.0763359203484,61173.69258603222,-58711.616250111874,-85304531154.4762,0.7595930289281136,-0.0035881753819739753,-0.004723812943672437,unphysical_radius
M5.0_T200.0_2674,mass,9.49e+27,1.0,200.0,4.999999357164081,0.8782773655281954,408.309926975978,68.42105263157896,0.03710526315789474,0.02,0.33,5136574902.437295,96117.14946608496,200.22710134223956,95916.92236474271,1402.5899717210698,50585.58787573522,-49182.99790401415,-100990703006822.39,1.0160766902982459,-0.0019680795727767867,-0.0019369399884560901,success
M1.0_T500.0_1630,mass,1.898e+27,1.0,500.0,1.0000849598477621,0.7842094333373685,183.79374787679566,5.2631578947368425,0.10573684210526316,0.02,0.33,403513281.58843225,75489.900200898,500.39116722551245,74989.5090336725,2926.0442609501656,61173.69258603222,-58247.64832508206,-575571093441.715,0.5000449662391176,-0.00144532632537363,-0.002890392710567725,success
M0.3_T200.0_97,mass,5.694e+26,1.0,200.0,0.2999979597671791,0.40367039115984144,89.58104357099364,21.05263157894737,0.35800000000000004,0.02,0.33,232091790.01305237,15864.073888471652,200.23497787070747,15663.838910600945,20.359406704057523,49675.15325827628,-49654.79385157223,-3132137345967.646,0.4456157761614123,-0.0011802212225004065,-0.002648517592144007,success
M1.0_T1000.0_2199,mass,1.898e+27,1.0,1000.0,1.0002619678849243,0.6352301708729609,273.310310244477,47.36842105263158,0.2,0.02,0.33,813458736.1655304,135736.56489368592,1000.6346982017596,134735.93019548416,4579.417218847223,69425.39456699316,-64845.977348145934,-94987959015.53462,0.20278523095197726,-0.003954145863463836,-0.01949918070907363,success
M5.0_T1000.0_3470,mass,9.49e+27,1.0,1000.0,4.999999701512923,1.1927706808520817,228.27600830870347,68.42105263157896,0.026789473684210526,0.02,0.33,2011697148.1655192,233695.57693647651,1000.2554055786583,232695.32153089787,5190.427233304604,69425.39456699316,-64234.96733368855,-194849957099.56284,0.06437275982961356,-0.0035842017600412686,-0.055678858099733344,success
M5.0_T1000.0_3579,mass,9.49e+27,1.0,1000.0,5.000003500310841,1.0369663581363127,546.3239693284157,94.73684210526316,0.05,0.02,0.33,3989250070.8315506,313808.68595645507,1001.3822581022101,312807.3036983529,5220.491713613734,69425.39456699316,-64204.90285337942,-354283044872.20355,0.16093703493165765,-0.005597804792272205,-0.034782576891946144,success
M1.0_T200.0_1554,mass,1.898e+27,1.0,200.0,0.9999955473180253,0.5381036764389083,267.25923138447615,89.47368421052633,0.14763157894736842,0.02,0.33,1057008574.5049962,33178.51808307855,200.30793836705186,32978.2101447115,153.36232341216814,50585.58787573522,-50432.22555232305,-17385396901984.459,0.6888271055218075,-0.0013902774723029859,-0.0020183257324779755,success
