M_core_Me,Transfer_Mode,Target_Mz_Me,M_dilute_Me,M_Z_total_Me,R_total_Re,Sigma_Used,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC
7.4,Bulk Envelope Transfer,7.9,0.5203219082108692,7.92032190821087,3.5879145828980765,0.1,-13143247778.809338,0.8604701711639924,-0.0006850507959455,-0.0007961354372329
6.577777777777778,Bulk Envelope Transfer,7.9,1.2379839981739016,7.81576177595168,5.145595010753151,0.1,-15094166851.850828,0.7768130603499535,-0.0004449891190901,-0.0005728393892987
5.755555555555556,Bulk Envelope Transfer,7.9,1.92133034202024,7.676885897575795,6.53003999756003,0.1,-14979078603.76677,0.7247203152368499,-0.0003532597353113,-0.0004874428491712
4.933333333333334,Bulk Envelope Transfer,7.9,2.584133463096782,7.517466796430115,8.241027421486438,0.1,-13282536957.59342,0.6621287120878296,-0.0002868468874655,-0.0004332192249465
4.111111111111111,Bulk Envelope Transfer,7.9,3.2022759053168395,7.31338701642795,10.035448329190912,0.1,-11312830749.125628,0.6045186016336677,-0.0002375508959853,-0.0003929587862861
3.2888888888888888,Bulk Envelope Transfer,7.9,3.766625637533181,7.055514526422069,12.37105367708668,0.1,-8865681937.26666,0.5401540896824409,-0.0001925690054888,-0.0003565075395467
2.466666666666667,Bulk Envelope Transfer,7.9,4.23175240906216,6.698419075728827,16.88002935130016,0.1,-5510141421.288675,0.4465554371054538,-0.0001422590454994,-0.0003185697310542
1.644444444444444,Bulk Envelope Transfer,7.9,4.521482135007556,6.165926579452,23.63876743434225,0.1,-2988693778.9992437,0.3445133521706425,-9.896917734913102e-05,-0.0002872723995327
0.822222222222222,Bulk Envelope Transfer,7.9,0.3817618771714179,1.20398409939364,103.70871678432526,0.1,-38068648.842309445,0.0561020066859183,-1.2552415622327486e-05,-0.0002237427208727
6.5,Direct Metal (Total Z = 7.5 M_E),7.5,1.002201836744737,7.502201836744737,6.795246705317756,0.0060563078520677,-8877824818.017979,0.5621696882319043,-0.0003096943459452,-0.0005508912209751
5.921052631578947,Direct Metal (Total Z = 7.5 M_E),7.5,1.577228059926055,7.498280691505002,7.807810234876228,0.0071243437000517,-9435918467.372623,0.5913084910177473,-0.0002971051347222,-0.0005024536925064
5.631578947368421,Direct Metal (Total Z = 7.5 M_E),7.5,1.8677168212806248,7.499295768649046,7.967129228213017,0.0074038783767392,-10308027196.639263,0.6001803799612453,-0.000302831722735,-0.0005045678480103
4.7631578947368425,Direct Metal (Total Z = 7.5 M_E),7.5,2.737287803340778,7.500445698077621,8.07691604559596,0.25,-14490094508.855389,0.6701707249958231,-0.000295749068077,-0.0004413040693159
4.473684210526316,Direct Metal (Total Z = 7.5 M_E),7.5,3.0233011840459083,7.496985394572224,7.80363148839378,0.2730622520327101,-16853314705.387808,0.6827904204248193,-0.0003139833473052,-0.0004598531817565
4.184210526315789,Direct Metal (Total Z = 7.5 M_E),7.5,3.318172264897746,7.502382791213535,7.527270967660441,0.2906802805382306,-19682974033.114395,0.6976033828035886,-0.0003318356491788,-0.0004756795298858
3.894736842105263,Direct Metal (Total Z = 7.5 M_E),7.5,3.608902174228663,7.503639016333926,7.097111890296624,0.3139589432002701,-23441585838.07497,0.7144099268950803,-0.0003575949053391,-0.0005005458237308
5.7368421052631575,Direct Metal (Total Z = 7.0 M_E),7.0,1.2670012222139846,7.003843327477142,11.337422565762534,0.0053538474603598,-4514183316.363601,0.3985445329693282,-0.0001887101869747,-0.0004734983706056
5.473684210526316,Direct Metal (Total Z = 7.0 M_E),7.0,1.5296942907614133,7.003378501287729,11.174214389268435,0.0057591321176479,-5243810647.580125,0.4256272330670289,-0.0002066909559018,-0.0004856149697292
5.2105263157894735,Direct Metal (Total Z = 7.0 M_E),7.0,1.7914150740971555,7.001941389886629,11.056599876615753,0.0060703886944602,-5951068989.303831,0.4427710308092828,-0.000220198444624,-0.0004973189962801
4.684210526315789,Direct Metal (Total Z = 7.0 M_E),7.0,2.3163389214110435,7.000549447726833,12.785698224758905,0.0069960580237998,-5460759596.327849,0.4318999995343127,-0.0002000466217784,-0.0004631781013987
