      0.12589254E+03      0.11220185E-06      0.65247027E-04     -0.83620285E+10      0.12808823E+09
      0.12589254E+03      0.12589254E-06      0.73208341E-04     -0.83620288E+10      0.12755643E+09
      0.12589254E+03      0.14125376E-06      0.82141075E-04     -0.83620290E+10      0.12702463E+09
      0.12589254E+03      0.15848932E-06      0.92163758E-04     -0.83620293E+10      0.12649283E+09
      0.12589254E+03      0.17782794E-06      0.10340938E-03     -0.83620297E+10      0.12596103E+09
      0.12589254E+03      0.19952624E-06      0.11602717E-03     -0.83620300E+10      0.12542923E+09
      0.12589254E+03      0.22387212E-06      0.13018453E-03     -0.83620304E+10      0.12489743E+09
      0.12589254E+03      0.25118865E-06      0.14606934E-03     -0.83620309E+10      0.12436563E+09
      0.12589254E+03      0.28183830E-06      0.16389236E-03     -0.83620314E+10      0.12383383E+09
      0.12589254E+03      0.31622778E-06      0.18389007E-03     -0.83620320E+10      0.12330203E+09
      0.12589254E+03      0.35481340E-06      0.20632784E-03     -0.83620327E+10      0.12277023E+09
      0.12589254E+03      0.39810718E-06      0.23150337E-03     -0.83620334E+10      0.12223843E+09
      0.12589254E+03      0.44668361E-06      0.25975070E-03     -0.83620342E+10      0.12170663E+09
      0.12589254E+03      0.50118725E-06      0.29144464E-03     -0.83620352E+10      0.12117483E+09
      0.12589254E+03      0.56234135E-06      0.32700572E-03     -0.83620362E+10      0.12064303E+09
      0.12589254E+03      0.63095737E-06      0.36690575E-03     -0.83620374E+10      0.12011123E+09
      0.12589254E+03      0.70794581E-06      0.41167415E-03     -0.83620387E+10      0.11957943E+09
      0.12589254E+03      0.79432827E-06      0.46190490E-03     -0.83620401E+10      0.11904763E+09
      0.12589254E+03      0.89125098E-06      0.51826443E-03     -0.83620418E+10      0.11851583E+09
      0.12589254E+03      0.10000000E-05      0.58150052E-03     -0.83620436E+10      0.11798403E+09
      0.12589254E+03      0.11220185E-05      0.65245212E-03     -0.83620457E+10      0.11745223E+09
      0.12589254E+03      0.12589255E-05      0.73206056E-03     -0.83620480E+10      0.11692043E+09
      0.12589254E+03      0.14125376E-05      0.82138198E-03     -0.83620507E+10      0.11638863E+09
      0.12589254E+03      0.15848933E-05      0.92160136E-03     -0.83620536E+10      0.11585683E+09
      0.12589254E+03      0.17782795E-05      0.10340482E-02     -0.83620569E+10      0.11532503E+09
      0.12589254E+03      0.19952624E-05      0.11602143E-02     -0.83620605E+10      0.11479323E+09
      0.12589254E+03      0.22387213E-05      0.13017731E-02     -0.83620647E+10      0.11426143E+09
      0.12589254E+03      0.25118866E-05      0.14606024E-02     -0.83620693E+10      0.11372963E+09
      0.12589254E+03      0.28183831E-05      0.16388091E-02     -0.83620745E+10      0.11319782E+09
      0.12589254E+03      0.31622779E-05      0.18387566E-02     -0.83620804E+10      0.11266602E+09
      0.12589254E+03      0.35481341E-05      0.20630969E-02     -0.83620869E+10      0.11213422E+09
      0.12589254E+03      0.39810720E-05      0.23148052E-02     -0.83620942E+10      0.11160242E+09
      0.12589254E+03      0.44668362E-05      0.25972195E-02     -0.83621025E+10      0.11107062E+09
      0.12589254E+03      0.50118727E-05      0.29140845E-02     -0.83621117E+10      0.11053881E+09
      0.12589254E+03      0.56234137E-05      0.32696016E-02     -0.83621221E+10      0.11000701E+09
      0.12589254E+03      0.63095739E-05      0.36684841E-02     -0.83621337E+10      0.10947520E+09
      0.12589254E+03      0.70794584E-05      0.41160198E-02     -0.83621467E+10      0.10894340E+09
      0.12589254E+03      0.79432830E-05      0.46181405E-02     -0.83621613E+10      0.10841159E+09
      0.12589254E+03      0.89125101E-05      0.51815009E-02     -0.83621777E+10      0.10787979E+09
      0.12589254E+03      0.10000001E-04      0.58135660E-02     -0.83621961E+10      0.10734798E+09
