 # Table   301 for sesame material number 2150
 # T(eV) Rho(g/cm3) P(Mbar) Energy(Mj/kg) FreeEnergy(Mj/kg)
+0.00000000E+00 +0.00000000E+00 +0.00000000E+00 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.00000000E+00 +0.00000000E+00 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.00000000E+00 +0.00000000E+00 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.00000000E+00 +0.00000000E+00 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.00000000E+00 +0.00000000E+00 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.00000000E+00 +0.00000000E+00 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.00000000E+00 +0.00000000E+00 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.00000000E+00 +0.00000000E+00 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.00000000E+00 +0.00000000E+00 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.00000000E+00 +0.00000000E+00 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.00000000E+00 +0.00000000E+00 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.00000000E+00 +0.00000000E+00 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.00000000E+00 +0.00000000E+00 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.00000000E+00 +0.00000000E+00 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.00000000E+00 +0.00000000E+00 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.00000000E+00 +0.00000000E+00 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.00000000E+00 +0.00000000E+00 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.00000000E+00 +0.00000000E+00 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.00000000E+00 +0.00000000E+00 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.00000000E+00 +0.00000000E+00 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.00000000E+00 +0.00000000E+00 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.00000000E+00 +0.00000000E+00 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.00000000E+00 +0.00000000E+00 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.00000000E+00 +0.00000000E+00 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.00000000E+00 +0.00000000E+00 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.00000000E+00 +0.00000000E+00 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.00000000E+00 +0.00000000E+00 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.00000000E+00 +0.00000000E+00 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.00000000E+00 +0.00000000E+00 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.00000000E+00 +0.00000000E+00 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.00000000E+00 +0.00000000E+00 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.00000000E+00 +0.00000000E+00 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.00000000E+00 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.00000000E+00 +0.00000000E+00 +0.83660727E+01 +0.50859093E-02
+0.29298833E+00 +0.00000000E+00 +0.00000000E+00 +0.84989920E+01 +0.51266095E-02
+0.31775293E+00 +0.00000000E+00 +0.00000000E+00 +0.86403236E+01 +0.51665278E-02
+0.34461072E+00 +0.00000000E+00 +0.00000000E+00 +0.87849607E+01 +0.52041984E-02
+0.37373865E+00 +0.00000000E+00 +0.00000000E+00 +0.89415264E+01 +0.52417493E-02
+0.40532857E+00 +0.00000000E+00 +0.00000000E+00 +0.92857752E+01 +0.53176200E-02
+0.43958861E+00 +0.00000000E+00 +0.00000000E+00 +0.98112097E+01 +0.54246280E-02
+0.47674435E+00 +0.00000000E+00 +0.00000000E+00 +0.10695510E+02 +0.55903951E-02
+0.51704079E+00 +0.00000000E+00 +0.00000000E+00 +0.12870690E+02 +0.59655253E-02
+0.58866638E+00 +0.00000000E+00 +0.00000000E+00 +0.19906172E+02 +0.70608011E-02
+0.67021430E+00 +0.00000000E+00 +0.00000000E+00 +0.24573162E+02 +0.77133211E-02
+0.76305896E+00 +0.00000000E+00 +0.00000000E+00 +0.26009132E+02 +0.78864247E-02
+0.86876559E+00 +0.00000000E+00 +0.00000000E+00 +0.27460329E+02 +0.80406647E-02
+0.98911542E+00 +0.00000000E+00 +0.00000000E+00 +0.28281322E+02 +0.81170499E-02
+0.11261375E+01 +0.00000000E+00 +0.00000000E+00 +0.33713100E+02 +0.85526342E-02
+0.12821414E+01 +0.00000000E+00 +0.00000000E+00 +0.44160542E+02 +0.93015973E-02
+0.14597561E+01 +0.00000000E+00 +0.00000000E+00 +0.53672588E+02 +0.99022696E-02
+0.16619759E+01 +0.00000000E+00 +0.00000000E+00 +0.62671703E+02 +0.10400291E-01
+0.18922091E+01 +0.00000000E+00 +0.00000000E+00 +0.70771454E+02 +0.10795900E-01
+0.11543367E+01 +0.00000000E+00 +0.00000000E+00 +0.79333214E+02 +0.11158880E-01
+0.25130966E+01 +0.00000000E+00 +0.00000000E+00 +0.10563862E+03 +0.12124413E-01
+0.29315999E+01 +0.00000000E+00 +0.00000000E+00 +0.13729082E+03 +0.13136261E-01
+0.34197967E+01 +0.00000000E+00 +0.00000000E+00 +0.15881483E+03 +0.13720070E-01
+0.39892919E+01 +0.00000000E+00 +0.00000000E+00 +0.20154260E+03 +0.14708650E-01
+0.46536250E+01 +0.00000000E+00 +0.00000000E+00 +0.26457593E+03 +0.15967229E-01
+0.54285879E+01 +0.00000000E+00 +0.00000000E+00 +0.34249261E+03 +0.17300513E-01
+0.63326063E+01 +0.00000000E+00 +0.00000000E+00 +0.43885605E+03 +0.18714899E-01
+0.73871694E+01 +0.00000000E+00 +0.00000000E+00 +0.55699182E+03 +0.20200063E-01
+0.86173468E+01 +0.00000000E+00 +0.00000000E+00 +0.70908130E+03 +0.21839321E-01
+0.15677298E+02 +0.00000000E+00 +0.00000000E+00 +0.19181810E+04 +0.30391894E-01
+0.28521273E+02 +0.00000000E+00 +0.00000000E+00 +0.54110083E+04 +0.44287439E-01
+0.51887955E+02 +0.00000000E+00 +0.00000000E+00 +0.81201421E+04 +0.50983634E-01
+0.94398300E+02 +0.00000000E+00 +0.00000000E+00 +0.20167172E+05 +0.64517282E-01
+0.17173622E+03 +0.00000000E+00 +0.00000000E+00 +0.39318055E+05 +0.78430653E-01
+0.31243488E+03 +0.00000000E+00 +0.00000000E+00 +0.48385711E+05 +0.81759617E-01
+0.56840399E+03 +0.00000000E+00 +0.00000000E+00 +0.96658320E+05 +0.90966932E-01
+0.10340817E+04 +0.00000000E+00 +0.00000000E+00 +0.13198500E+06 +0.94963230E-01

+0.00000000E+00 +0.10000000E-05 -0.33151291E-07 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.10000000E-05 -0.32135141E-07 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.10000000E-05 -0.31113562E-07 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.10000000E-05 -0.30086550E-07 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.10000000E-05 -0.29815549E-07 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.10000000E-05 -0.29520359E-07 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.10000000E-05 -0.29198789E-07 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.10000000E-05 -0.28848440E-07 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.10000000E-05 -0.28466660E-07 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.10000000E-05 -0.28050581E-07 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.10000000E-05 -0.27597039E-07 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.10000000E-05 -0.27102571E-07 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.10000000E-05 -0.26563370E-07 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.10000000E-05 -0.25975259E-07 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.10000000E-05 -0.25333669E-07 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.10000000E-05 -0.24633540E-07 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.10000000E-05 -0.23869323E-07 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.10000000E-05 -0.23034913E-07 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.10000000E-05 -0.22123571E-07 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.10000000E-05 -0.21127819E-07 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.10000000E-05 -0.20041250E-07 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.10000000E-05 -0.18871390E-07 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.10000000E-05 -0.17590329E-07 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.10000000E-05 -0.16195351E-07 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.10000000E-05 -0.14682990E-07 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.10000000E-05 -0.13941390E-07 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.10000000E-05 -0.13036810E-07 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.10000000E-05 -0.11250390E-07 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.10000000E-05 -0.93117460E-08 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.10000000E-05 -0.72160224E-08 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.10000000E-05 -0.49616031E-08 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.10000000E-05 -0.25599820E-08 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.10000000E-05 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.10000000E-05 +0.46672630E-08 +0.83660727E+01 +0.50859093E-02
+0.29298833E+00 +0.10000000E-05 +0.50615889E-08 +0.84989920E+01 +0.51266095E-02
+0.31775293E+00 +0.10000000E-05 +0.54897824E-08 +0.86403236E+01 +0.51665278E-02
+0.34461072E+00 +0.10000000E-05 +0.59562213E-08 +0.87849607E+01 +0.52041984E-02
+0.37373865E+00 +0.10000000E-05 +0.64637828E-08 +0.89415264E+01 +0.52417493E-02
+0.40532857E+00 +0.10000000E-05 +0.70430031E-08 +0.92857752E+01 +0.53176200E-02
+0.43958861E+00 +0.10000000E-05 +0.78321571E-08 +0.98112097E+01 +0.54246280E-02
+0.47674435E+00 +0.10000000E-05 +0.90072767E-08 +0.10695510E+02 +0.55903951E-02
+0.51704079E+00 +0.10000000E-05 +0.10735200E-07 +0.12870690E+02 +0.59655253E-02
+0.58866638E+00 +0.10000000E-05 +0.14705022E-07 +0.19906172E+02 +0.70608011E-02
+0.67021430E+00 +0.10000000E-05 +0.20168940E-07 +0.24573162E+02 +0.77133211E-02
+0.76305896E+00 +0.10000000E-05 +0.24671030E-07 +0.26009132E+02 +0.78864247E-02
+0.86876559E+00 +0.10000000E-05 +0.28612400E-07 +0.27460329E+02 +0.80406647E-02
+0.98911542E+00 +0.10000000E-05 +0.33253411E-07 +0.28281322E+02 +0.81170499E-02
+0.11261375E+01 +0.10000000E-05 +0.39137539E-07 +0.33713100E+02 +0.85526342E-02
+0.12821414E+01 +0.10000000E-05 +0.50779960E-07 +0.44160542E+02 +0.93015973E-02
+0.14597561E+01 +0.10000000E-05 +0.68432371E-07 +0.53672588E+02 +0.99022696E-02
+0.16619759E+01 +0.10000000E-05 +0.83875904E-07 +0.62671703E+02 +0.10400291E-01
+0.18922091E+01 +0.10000000E-05 +0.98993162E-07 +0.70771454E+02 +0.10795900E-01
+0.21543367E+01 +0.10000000E-05 +0.11992471E-06 +0.79333214E+02 +0.11158880E-01
+0.25130966E+01 +0.10000000E-05 +0.15252590E-06 +0.10563862E+03 +0.12124413E-01
+0.29315999E+01 +0.10000000E-05 +0.19376404E-06 +0.13729082E+03 +0.13136261E-01
+0.34197967E+01 +0.10000000E-05 +0.24642080E-06 +0.15881483E+03 +0.13720070E-01
+0.39892919E+01 +0.10000000E-05 +0.31344803E-06 +0.20154260E+03 +0.14708650E-01
+0.46536250E+01 +0.10000000E-05 +0.39421303E-06 +0.26457593E+03 +0.15967229E-01
+0.54285879E+01 +0.10000000E-05 +0.49970134E-06 +0.34249261E+03 +0.17300513E-01
+0.63326063E+01 +0.10000000E-05 +0.64644388E-06 +0.43885605E+03 +0.18714899E-01
+0.73871694E+01 +0.10000000E-05 +0.83702434E-06 +0.55699182E+03 +0.20200063E-01
+0.86173468E+01 +0.10000000E-05 +0.10786562E-05 +0.70908130E+03 +0.21839321E-01
+0.15677298E+02 +0.10000000E-05 +0.27791100E-05 +0.19181810E+04 +0.30391894E-01
+0.28521273E+02 +0.10000000E-05 +0.74893710E-05 +0.54110083E+04 +0.44287439E-01
+0.51887955E+02 +0.10000000E-05 +0.15726650E-04 +0.81201421E+04 +0.50983634E-01
+0.94398300E+02 +0.10000000E-05 +0.34600380E-04 +0.20167172E+05 +0.64517282E-01
+0.17173622E+03 +0.10000000E-05 +0.76179749E-04 +0.39318055E+05 +0.78430653E-01
+0.31243488E+03 +0.10000000E-05 +0.13836264E-03 +0.48385711E+05 +0.81759617E-01
+0.56840399E+03 +0.10000000E-05 +0.26722843E-03 +0.96658320E+05 +0.90966932E-01
+0.10340817E+04 +0.10000000E-05 +0.49160805E-03 +0.13198500E+06 +0.94963230E-01

+0.00000000E+00 +0.21544349E-05 -0.71422299E-07 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.21544349E-05 -0.69233060E-07 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.21544349E-05 -0.67032126E-07 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.21544349E-05 -0.64819510E-07 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.21544349E-05 -0.64235650E-07 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.21544349E-05 -0.63599693E-07 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.21544349E-05 -0.62906892E-07 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.21544349E-05 -0.62152068E-07 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.21544349E-05 -0.61329558E-07 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.21544349E-05 -0.60433145E-07 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.21544349E-05 -0.59456021E-07 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.21544349E-05 -0.58390711E-07 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.21544349E-05 -0.57229041E-07 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.21544349E-05 -0.55962001E-07 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.21544349E-05 -0.54579729E-07 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.21544349E-05 -0.53071343E-07 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.21544349E-05 -0.51424895E-07 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.21544349E-05 -0.49627221E-07 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.21544349E-05 -0.47663779E-07 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.21544349E-05 -0.45518512E-07 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.21544349E-05 -0.43177561E-07 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.21544349E-05 -0.40657174E-07 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.21544349E-05 -0.37897212E-07 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.21544349E-05 -0.34891819E-07 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.21544349E-05 -0.31633540E-07 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.21544349E-05 -0.30035810E-07 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.21544349E-05 -0.28086950E-07 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.21544349E-05 -0.24238229E-07 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.21544349E-05 -0.20061551E-07 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.21544349E-05 -0.15546449E-07 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.21544349E-05 -0.10689450E-07 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.21544349E-05 -0.55153149E-08 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.21544349E-05 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.21544349E-05 +0.10055330E-07 +0.83661919E+01 +0.49716812E-02
+0.29298833E+00 +0.21544349E-05 +0.10904982E-07 +0.84990740E+01 +0.50123711E-02
+0.31775293E+00 +0.21544349E-05 +0.11827440E-07 +0.86393108E+01 +0.50519821E-02
+0.34461072E+00 +0.21544349E-05 +0.12831502E-07 +0.87819691E+01 +0.50891363E-02
+0.37373865E+00 +0.21544349E-05 +0.13919050E-07 +0.89408541E+01 +0.51272321E-02
+0.40532857E+00 +0.21544349E-05 +0.15143714E-07 +0.92138462E+01 +0.51875133E-02
+0.43958861E+00 +0.21544349E-05 +0.16689603E-07 +0.95752687E+01 +0.52611772E-02
+0.47674435E+00 +0.21544349E-05 +0.18794271E-07 +0.10132140E+02 +0.53655771E-02
+0.51704079E+00 +0.21544349E-05 +0.21892332E-07 +0.11936324E+02 +0.56761401E-02
+0.58866638E+00 +0.21544349E-05 +0.29898040E-07 +0.18085501E+02 +0.66337939E-02
+0.67021430E+00 +0.21544349E-05 +0.42318920E-07 +0.22965450E+02 +0.73103751E-02
+0.76305896E+00 +0.21544349E-05 +0.52974102E-07 +0.25384254E+02 +0.76027131E-02
+0.86876559E+00 +0.21544349E-05 +0.61751763E-07 +0.27238230E+02 +0.78009921E-02
+0.98911542E+00 +0.21544349E-05 +0.71563200E-07 +0.27896004E+02 +0.78616338E-02
+0.11261375E+01 +0.21544349E-05 +0.84255433E-07 +0.32061512E+02 +0.81969742E-02
+0.12821414E+01 +0.21544349E-05 +0.10842630E-06 +0.39171783E+02 +0.87059177E-02
+0.14597561E+01 +0.21544349E-05 +0.14305701E-06 +0.48297375E+02 +0.92793750E-02
+0.16619759E+01 +0.21544349E-05 +0.17963470E-06 +0.60312710E+02 +0.99429283E-02
+0.18922091E+01 +0.21544349E-05 +0.21328620E-06 +0.68108040E+02 +0.10326673E-01
+0.21543367E+01 +0.21544349E-05 +0.25518423E-06 +0.74988464E+02 +0.10617550E-01
+0.25130966E+01 +0.21544349E-05 +0.31988583E-06 +0.99375473E+02 +0.11512173E-01
+0.29315999E+01 +0.21544349E-05 +0.40923101E-06 +0.12885280E+03 +0.12454362E-01
+0.34197967E+01 +0.21544349E-05 +0.51868295E-06 +0.14899561E+03 +0.13000770E-01
+0.39892919E+01 +0.21544349E-05 +0.65073010E-06 +0.18956842E+03 +0.13939134E-01
+0.46536250E+01 +0.21544349E-05 +0.82009342E-06 +0.24984402E+03 +0.15143422E-01
+0.54285879E+01 +0.21544349E-05 +0.10471820E-05 +0.31864145E+03 +0.16321214E-01
+0.63326063E+01 +0.21544349E-05 +0.13531950E-05 +0.40574045E+03 +0.17598620E-01
+0.73871694E+01 +0.21544349E-05 +0.17437260E-05 +0.51627472E+03 +0.18988101E-01
+0.86173468E+01 +0.21544349E-05 +0.22354459E-05 +0.65934601E+03 +0.20529950E-01
+0.15677298E+02 +0.21544349E-05 +0.57331722E-05 +0.17838164E+04 +0.28506581E-01
+0.28521273E+02 +0.21544349E-05 +0.15389929E-04 +0.50843423E+04 +0.41605052E-01
+0.51887955E+02 +0.21544349E-05 +0.32942375E-04 +0.81059502E+04 +0.48985481E-01
+0.94398300E+02 +0.21544349E-05 +0.71487382E-04 +0.18739264E+05 +0.60840964E-01
+0.17173622E+03 +0.21544349E-05 +0.15970229E-03 +0.39102930E+05 +0.75431503E-01
+0.31243488E+03 +0.21544349E-05 +0.29141494E-03 +0.48402371E+05 +0.78871034E-01
+0.56840399E+03 +0.21544349E-05 +0.56501629E-03 +0.93673578E+05 +0.87436274E-01
+0.10340817E+04 +0.21544349E-05 +0.10421030E-02 +0.13193634E+06 +0.91842711E-01

+0.00000000E+00 +0.46415889E-05 -0.15387469E-06 +0.11950370E+01 -0.99999996E+25
+0.85598985E-02 +0.46415889E-05 -0.14915810E-06 +0.12389309E+01 -0.99999996E+25
+0.17119799E-01 +0.46415889E-05 -0.14441633E-06 +0.12837840E+01 -0.99999996E+25
+0.25679693E-01 +0.46415889E-05 -0.13964940E-06 +0.13295950E+01 -0.99999996E+25
+0.27930947E-01 +0.46415889E-05 -0.13839151E-06 +0.13418030E+01 -0.99999996E+25
+0.30379560E-01 +0.46415889E-05 -0.13702140E-06 +0.13551559E+01 -0.99999996E+25
+0.33042837E-01 +0.46415889E-05 -0.13552879E-06 +0.13697690E+01 -0.99999996E+25
+0.35939585E-01 +0.46415889E-05 -0.13390260E-06 +0.13857681E+01 -0.99999996E+25
+0.39090294E-01 +0.46415889E-05 -0.13213052E-06 +0.14032950E+01 -0.99999996E+25
+0.42517204E-01 +0.46415889E-05 -0.13019930E-06 +0.14225050E+01 -0.99999996E+25
+0.46244547E-01 +0.46415889E-05 -0.12809410E-06 +0.14435740E+01 -0.99999996E+25
+0.50298650E-01 +0.46415889E-05 -0.12579900E-06 +0.14666970E+01 -0.99999996E+25
+0.54708164E-01 +0.46415889E-05 -0.12329622E-06 +0.14920903E+01 -0.99999996E+25
+0.59504244E-01 +0.46415889E-05 -0.12056650E-06 +0.15199991E+01 -0.99999996E+25
+0.64720780E-01 +0.46415889E-05 -0.11758850E-06 +0.15506963E+01 -0.99999996E+25
+0.70394635E-01 +0.46415889E-05 -0.11433874E-06 +0.15844890E+01 -0.99999996E+25
+0.76565899E-01 +0.46415889E-05 -0.11079160E-06 +0.16217220E+01 -0.99999996E+25
+0.83278179E-01 +0.46415889E-05 -0.10691860E-06 +0.16627851E+01 -0.99999996E+25
+0.90578921E-01 +0.46415889E-05 -0.10268850E-06 +0.17081170E+01 -0.99999996E+25
+0.98519638E-01 +0.46415889E-05 -0.98066657E-07 +0.17582190E+01 +0.18413120E-02
+0.10715654E+00 +0.46415889E-05 -0.93023239E-07 +0.18135960E+01 +0.18877439E-02
+0.11655057E+00 +0.46415889E-05 -0.87593229E-07 +0.18741320E+01 +0.19343984E-02
+0.12676817E+00 +0.46415889E-05 -0.81647073E-07 +0.19402120E+01 +0.19812132E-02
+0.13788152E+00 +0.46415889E-05 -0.75172153E-07 +0.20138931E+01 +0.20292231E-02
+0.14996915E+00 +0.46415889E-05 -0.68152403E-07 +0.20959244E+01 +0.20783190E-02
+0.15588780E+00 +0.46415889E-05 -0.64710186E-07 +0.21367681E+01 +0.21013224E-02
+0.16311647E+00 +0.46415889E-05 -0.60511489E-07 +0.21872220E+01 +0.21285533E-02
+0.17741628E+00 +0.46415889E-05 -0.52219679E-07 +0.22882855E+01 +0.21797244E-02
+0.19296978E+00 +0.46415889E-05 -0.43221291E-07 +0.24000831E+01 +0.22317450E-02
+0.20988679E+00 +0.46415889E-05 -0.33493812E-07 +0.25224111E+01 +0.22841259E-02
+0.22828689E+00 +0.46415889E-05 -0.23029724E-07 +0.26544874E+01 +0.23361079E-02
+0.24830000E+00 +0.46415889E-05 -0.11882384E-07 +0.27980180E+01 +0.23880373E-02
+0.27006763E+00 +0.46415889E-05 +0.00000000E+00 +0.29553111E+01 +0.24403699E-02
+0.27015382E+00 +0.46415889E-05 +0.21663475E-07 +0.83662605E+01 +0.48574358E-02
+0.29298833E+00 +0.46415889E-05 +0.23494293E-07 +0.84991245E+01 +0.48981211E-02
+0.31775293E+00 +0.46415889E-05 +0.25481670E-07 +0.86383600E+01 +0.49374532E-02
+0.34461072E+00 +0.46415889E-05 +0.27642521E-07 +0.87802820E+01 +0.49744099E-02
+0.37373865E+00 +0.46415889E-05 +0.29972679E-07 +0.89428301E+01 +0.50133844E-02
+0.40532857E+00 +0.46415889E-05 +0.32561111E-07 +0.91704617E+01 +0.50637131E-02
+0.43958861E+00 +0.46415889E-05 +0.35603811E-07 +0.94444237E+01 +0.51195864E-02
+0.47674435E+00 +0.46415889E-05 +0.39327553E-07 +0.98087330E+01 +0.51879724E-02
+0.51704079E+00 +0.46415889E-05 +0.44602224E-07 +0.11232933E+02 +0.54326649E-02
+0.58866638E+00 +0.46415889E-05 +0.60945801E-07 +0.16144264E+02 +0.61979992E-02
+0.67021430E+00 +0.46415889E-05 +0.89773422E-07 +0.20825064E+02 +0.68425494E-02
+0.76305896E+00 +0.46415889E-05 +0.11673130E-06 +0.24582611E+02 +0.72965762E-02
+0.86876559E+00 +0.46415889E-05 +0.13740070E-06 +0.26883051E+02 +0.75441012E-02
+0.98911542E+00 +0.46415889E-05 +0.15893600E-06 +0.27697702E+02 +0.76190280E-02
+0.11261375E+01 +0.46415889E-05 +0.18394300E-06 +0.30343269E+02 +0.78331837E-02
+0.12821414E+01 +0.46415889E-05 +0.22654019E-06 +0.35357704E+02 +0.81910212E-02
+0.14597561E+01 +0.46415889E-05 +0.28837084E-06 +0.44180420E+02 +0.87431530E-02
+0.16619759E+01 +0.46415889E-05 +0.35734769E-06 +0.57594021E+02 +0.94849374E-02
+0.18922091E+01 +0.46415889E-05 +0.43564512E-06 +0.65103127E+02 +0.98549305E-02
+0.21543367E+01 +0.46415889E-05 +0.52044749E-06 +0.71772232E+02 +0.10137060E-01
+0.25130966E+01 +0.46415889E-05 +0.64831647E-06 +0.92963539E+02 +0.10915080E-01
+0.29315999E+01 +0.46415889E-05 +0.84694585E-06 +0.11916630E+03 +0.11751010E-01
+0.34197967E+01 +0.46415889E-05 +0.10783880E-05 +0.14088870E+03 +0.12340293E-01
+0.39892919E+01 +0.46415889E-05 +0.13383210E-05 +0.17865852E+03 +0.13215471E-01
+0.46536250E+01 +0.46415889E-05 +0.17040400E-05 +0.23320561E+03 +0.14305262E-01
+0.54285879E+01 +0.46415889E-05 +0.21998139E-05 +0.29435641E+03 +0.15351793E-01
+0.63326063E+01 +0.46415889E-05 +0.28396971E-05 +0.37436420E+03 +0.16524583E-01
+0.73871694E+01 +0.46415889E-05 +0.36417471E-05 +0.47906830E+03 +0.17840693E-01
+0.86173468E+01 +0.46415889E-05 +0.46436121E-05 +0.61336731E+03 +0.19288139E-01
+0.15677298E+02 +0.46415889E-05 +0.11923970E-04 +0.16573190E+04 +0.26707569E-01
+0.28521273E+02 +0.46415889E-05 +0.31947853E-04 +0.47627788E+04 +0.39007600E-01
+0.51887955E+02 +0.46415889E-05 +0.70450340E-04 +0.80789229E+04 +0.47000151E-01
+0.94398300E+02 +0.46415889E-05 +0.14923260E-03 +0.17365572E+05 +0.57298623E-01
+0.17173622E+03 +0.46415889E-05 +0.34137015E-03 +0.38749684E+05 +0.72412372E-01
+0.31243488E+03 +0.46415889E-05 +0.62535022E-03 +0.48389750E+05 +0.76011397E-01
