M_core_Me,Transfer_Mode,Target_Mz_Me,M_dilute_Me,M_Z_total_Me,R_total_Re,Sigma_Used,dt_ds_total
7.4,Bulk Envelope Transfer,7.9,0.5073093187835642,7.907309318783565,3.395058300806206,0.25,-1826050913.5950212
6.800000000000001,Bulk Envelope Transfer,7.9,1.0345949560602543,7.834594956060255,4.2598570473478885,0.25,-1386464809.9992123
6.2,Bulk Envelope Transfer,7.9,1.5452936328886002,7.7452936328886,4.885748250819928,0.25,-1136202307.8957777
5.6,Bulk Envelope Transfer,7.9,2.062485799972883,7.662485799972883,5.512082777960543,0.25,-951772254.8776431
5.0,Bulk Envelope Transfer,7.9,2.555569513199119,7.555569513199119,6.095530856083764,0.25,-801851810.9516883
4.4,Bulk Envelope Transfer,7.9,3.0533430487660507,7.453343048766051,6.811118235696843,0.25,-664637411.3475004
3.8,Bulk Envelope Transfer,7.9,3.5582145368309064,7.358214536830906,7.390284988677651,0.25,-567868348.7128536
3.1999999999999993,Bulk Envelope Transfer,7.9,4.020061598447315,7.220061598447314,8.160239235293831,0.25,-468129984.7500929
2.5999999999999996,Bulk Envelope Transfer,7.9,4.486793021866457,7.086793021866456,9.032244155289233,0.25,-381531706.79014456
2.0,Bulk Envelope Transfer,7.9,4.925896110767172,6.925896110767172,10.027928308446633,0.25,-305450854.31362617
6.642857142857143,Direct Metal (Total Z = 7.0 M_E),7.0,0.3706091238957976,7.013466266752941,10.117279207229313,0.008155029296875,-208689515.29003772
6.0,Direct Metal (Total Z = 7.0 M_E),7.0,0.9945789376619905,6.9945789376619905,9.4434441601661,0.015721875,-284556064.67600787
6.5,Direct Metal (Total Z = 7.0 M_E),7.0,0.4850586582399652,6.985058658239965,9.53935664610955,0.009863671875,-243716240.50051084
5.111111111111111,Direct Metal (Total Z = 7.0 M_E),7.0,1.8834929694152232,6.994604080526334,8.288312342808553,0.020336735534667968,-407481577.8257189
3.7777777777777777,Direct Metal (Total Z = 7.0 M_E),7.0,3.2236182401023106,7.001396017880088,9.629545742507354,0.0245091796875,-317498024.3325175
4.666666666666667,Direct Metal (Total Z = 7.0 M_E),7.0,2.3393932105726876,7.0060598772393545,7.91919349056515,0.02151905517578125,-452023489.5865251
4.222222222222222,Direct Metal (Total Z = 7.0 M_E),7.0,2.7714520071124316,6.993674229334654,9.642702226490886,0.023837927246093748,-315670111.0752615
3.3333333333333335,Direct Metal (Total Z = 7.0 M_E),7.0,3.6641417392230067,6.99747507255634,9.596399199913266,0.025241455078125002,-319914524.0847982
2.8888888888888893,Direct Metal (Total Z = 7.0 M_E),7.0,4.114661065663298,7.003549954552187,9.732294152898708,0.025638104248046877,-310966362.61876225
2.4444444444444446,Direct Metal (Total Z = 7.0 M_E),7.0,4.5493577392685935,6.993802183713038,9.659130245523452,0.026187310791015626,-314391113.94487184
2.0,Direct Metal (Total Z = 7.0 M_E),7.0,4.961930661899595,6.961930661899595,9.945678492938839,0.0264619140625,-295085824.2947929
5.785714285714286,Direct Metal (Total Z = 6.0 M_E),6.0,0.18246500664649812,5.968179292360784,17.266667012794798,0.0037613769531249994,-60330146.14072855
5.714285714285714,Direct Metal (Total Z = 6.0 M_E),6.0,0.2709148579681635,5.985200572253878,22.720353894827117,0.0040054687499999995,-37710312.51666673
5.571428571428571,Direct Metal (Total Z = 6.0 M_E),6.0,0.4388362695783883,6.0102648410069595,19.263533223344304,0.006446386718749999,-54131346.90080844
5.5,Direct Metal (Total Z = 6.0 M_E),6.0,0.48970451034477147,5.9897045103447715,21.174864447928133,0.006446386718749999,-45541153.10054819
4.333333333333333,Direct Metal (Total Z = 6.0 M_E),6.0,1.6642201805172965,5.9975535138506295,18.60788985311741,0.0155998291015625,-72285720.40753442
4.666666666666667,Direct Metal (Total Z = 6.0 M_E),6.0,1.3205910538467247,5.987257720513392,19.578783925258502,0.014013232421874999,-62695548.20298436
3.666666666666667,Direct Metal (Total Z = 6.0 M_E),6.0,2.3206212498693786,5.9872879165360455,16.80238229068865,0.017918701171874996,-91774080.74281462
4.0,Direct Metal (Total Z = 6.0 M_E),6.0,2.006563223812228,6.006563223812228,17.392548754851514,0.016942333984374995,-84578583.13586539
3.3333333333333335,Direct Metal (Total Z = 6.0 M_E),6.0,2.6513282987724627,5.984661632105796,16.214762377237722,0.018650976562499998,-99154761.11233163
2.666666666666667,Direct Metal (Total Z = 6.0 M_E),6.0,3.334325621136678,6.000992287803345,15.002158449551526,0.02011552734375,-116278854.37184018
2.3333333333333335,Direct Metal (Total Z = 6.0 M_E),6.0,3.666459545054169,5.9997928783875025,14.755774283068629,0.020649478149414063,-119746197.92021748
3.0,Direct Metal (Total Z = 6.0 M_E),6.0,3.0107160846256367,6.010716084625637,15.362525589665717,0.019627343749999998,-111141848.74045901
2.0,Direct Metal (Total Z = 6.0 M_E),6.0,4.026784756017055,6.026784756017055,18.43931013076102,0.023548068237304688,-78835107.81800205
