trial_id,target_mode,target_value,P_surf_bar,T_surf_K,M_total_Mj,R_total_Rj,M_Z_total_Me,P_center_bar,Iron_Fraction,status
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.5164861888085566,0.5559073690364486,427.18763391999147,1778279410.0389228,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.5160599918867947,0.5558405809039193,427.0686559445593,1778279410.0389228,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.5153310693933641,0.5549516563474499,428.0529647644537,1584893192.4611108,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.5150468366761962,0.5549107453923513,428.033258520033,1584893192.4611108,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.5963585016288824,0.5548330932086248,449.5678229030293,1995262314.9688828,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.595413423603645,0.5548920056593366,449.25953535548865,1995262314.9688828,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.4196583729308598,0.554872787542644,401.0319999180536,1258925411.794166,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.4194318515892714,0.5548455018781638,400.9721437538735,1258925411.794166,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.8201792997105068,0.5537865129675703,513.355372323295,2511886431.509582,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.8188563708968084,0.5537257794155842,513.0081416303955,2511886431.509582,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,1.201950437508509,0.5581937289901073,339.18115419632096,891250938.1337441,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,1.2007578154274081,0.5576663831471963,338.8450491732876,891250938.1337441,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,2.1866508947709002,0.5487339943118817,618.1112652683676,3548133892.3357606,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,2.186445059241548,0.5489020054013231,618.0860408673934,3548133892.3357606,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,0.8484982399141078,0.5604442867828604,239.04028996412063,446683592.1509635,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,0.8482170055183142,0.5603853216751751,238.953574797847,446683592.1509635,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,3.1132764440032634,0.5410656665021136,883.3932720780167,7079457843.841373,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,3.112915114805417,0.5410927679172945,883.3790177850514,7079457843.841373,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,0.5156715650883619,0.5588628051540377,145.1214268324975,177827941.00389227,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,0.5154372852442947,0.5587588066697099,145.0837006275744,177827941.00389227,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,4.814278603333863,0.5262847135482557,1372.0438704932224,17782794100.38923,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,4.8139548662073315,0.5262728449974304,1371.9043004791238,17782794100.38923,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,0.2514689042258,0.5459039358659152,71.03043777224006,56234132.51903491,0.33,success_intermediate
K11e_Bulk_7.9_7.900_step,mass,4.74774e+25,1.0,900.0,0.25128806362050404,0.5457959459411731,70.98943012181671,56234132.51903491,0.33,success_intermediate
K11e_Bulk_7.9_7.843_step,mass,4.74774e+25,1.0,900.0,7.925173716870787,0.5061108411453796,2266.6098976740573,56234132519.034904,0.33,success_intermediate
