M_core_Me,Transfer_Mode,Target_Mz_Me,M_dilute_Me,M_Z_total_Me,R_total_Re,Sigma_Used,dt_ds_total,DDC_Match_Ratio,Grad_Fuzzy,Grad_DDC
7.4,Bulk Envelope Transfer,7.9,0.5221260545888509,7.922126054588851,3.6273300113801867,0.1,-12837059607.677498,0.8280795628073458,-0.0006710339824326335,-0.0008103496482363383
6.577777777777778,Bulk Envelope Transfer,7.9,1.2445214380189418,7.82229921579672,5.222721765906327,0.1,-14530951740.087446,0.7480938697797219,-0.0004376678351121423,-0.0005850440068985122
5.7555555555555555,Bulk Envelope Transfer,7.9,1.934539176335722,7.690094731891278,6.655425176338818,0.1,-14370845799.398533,0.6945677700082603,-0.00035132142096350075,-0.0005058130194542752
4.933333333333334,Bulk Envelope Transfer,7.9,2.593916411528772,7.527249744862106,8.254052043441312,0.1,-12947689133.282959,0.6392435211894828,-0.00029080836402582173,-0.000454925790228887
4.111111111111111,Bulk Envelope Transfer,7.9,3.214094444595645,7.325205555706756,10.320254497373472,0.1,-10599892288.702879,0.5740533055216654,-0.00023890594711849456,-0.0004161738027122604
3.2888888888888888,Bulk Envelope Transfer,7.9,3.7828488909569664,7.071737779845855,12.957923396166642,0.1,-8073794293.508477,0.501168842438241,-0.0001944611152048374,-0.0003880151732074222
2.466666666666667,Bulk Envelope Transfer,7.9,4.254942939576581,6.7216096062432475,17.063864371323923,0.1,-5323635130.773046,0.41235251057338135,-0.00015097618166864848,-0.00036613377582863315
1.644444444444444,Bulk Envelope Transfer,7.9,0.3560219876246764,2.0004664320691203,88.92100886445543,0.1,-31953871.830051832,0.03205931669694812,-1.6848955145697613e-05,-0.0005255556537579462
0.822222222222222,Bulk Envelope Transfer,7.9,0.4086382607092789,1.2308604829315009,108.43737060220552,0.1,-32706103.79646228,0.042859615128208725,-1.6141649350335343e-05,-0.00037661675920443497
3.894736842105263,Direct Metal (Total Z = 7.5 M_E),7.5,3.603054385029264,7.497791227134527,7.354265630483035,0.30660902851708643,-21839605789.79469,0.6889571294068821,-0.0003512990374532634,-0.0005098997055966225
6.5,Direct Metal (Total Z = 7.5 M_E),7.5,0.9992354772593472,7.499235477259347,6.792122302670424,0.02065488192853834,-8844752901.600914,0.5674538652180233,-0.00030977452943336083,-0.0005459025806694282
5.052631578947368,Direct Metal (Total Z = 7.5 M_E),7.5,2.442990683179663,7.495622262127031,8.380385731437046,0.026531583344438798,-11666504634.62267,0.6005894494162314,-0.0003044471044416352,-0.0005069138406236666
1.5789473684210522,Direct Metal (Total Z = 7.5 M_E),7.5,5.921485738438686,7.500433106859738,5.6322570483839005,0.45675326990307746,-55632638081.533806,0.7579876158087006,-0.00046916933920207416,-0.0006189670245489633
6.5,Direct Metal (Total Z = 7.0 M_E),7.0,0.5065622756094266,7.006562275609427,11.73306327829028,0.010230820340265182,-2294011402.7927804,0.3410592952838664,-0.00012704028226936527,-0.00037248737690502944
1.0,Direct Metal (Total Z = 7.5 M_E),7.5,6.509835331865818,7.509835331865818,5.287369088290178,0.486301310612242,-67777080254.583145,0.7665062435291767,-0.00048280008399199156,-0.0006298710389742755
4.157894736842105,Direct Metal (Total Z = 7.0 M_E),7.0,2.841320809445734,6.999215546287839,13.169440550524879,0.025145339065850095,-6024295454.976535,0.43356713071104,-0.00020621910730066534,-0.0004756336278593601
3.8947368421052633,Direct Metal (Total Z = 7.0 M_E),7.0,3.105610777110616,7.000347619215879,13.26028165992446,0.025640407470952455,-6373609813.788522,0.43423733711195106,-0.00020887659460260306,-0.0004810194259015374
2.8421052631578947,Direct Metal (Total Z = 7.0 M_E),7.0,4.153060263404407,6.995165526562301,12.7109349545424,0.24876508635321373,-9150993869.981043,0.5221036941503072,-0.0001936725960072256,-0.00037094661113711567
